Date : 2022-08-12 12:45:46
Directory : c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot
Total : 152 files,  10457 codes, 2189 comments, 2096 blanks, all 14742 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Java           |        127 |      8,685 |      2,170 |      2,012 |     12,867 |
| Jupyter (JSON) |          2 |        809 |          0 |          2 |        811 |
| JSON           |         15 |        665 |          0 |          5 |        670 |
| Python         |          1 |        110 |          1 |         22 |        133 |
| Groovy         |          2 |         80 |         18 |         23 |        121 |
| Batch          |          1 |         68 |          0 |         22 |         90 |
| Markdown       |          2 |         31 |          0 |          8 |         39 |
| Properties     |          1 |          5 |          0 |          1 |          6 |
| Ini            |          1 |          4 |          0 |          1 |          5 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        152 |     10,457 |      2,189 |      2,096 |     14,742 |
| .wpilib                                                                                                                                               |          1 |          6 |          0 |          0 |          6 |
| gradle                                                                                                                                                |          1 |          5 |          0 |          1 |          6 |
| gradle\wrapper                                                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| shooting-constants                                                                                                                                    |          1 |        110 |          1 |         22 |        133 |
| src                                                                                                                                                   |        134 |      8,692 |      2,170 |      2,012 |     12,874 |
| src\main                                                                                                                                              |        134 |      8,692 |      2,170 |      2,012 |     12,874 |
| src\main\deploy                                                                                                                                       |          7 |          7 |          0 |          0 |          7 |
| src\main\deploy\pathplanner                                                                                                                           |          7 |          7 |          0 |          0 |          7 |
| src\main\deploy\pathplanner\generatedJSON                                                                                                             |          7 |          7 |          0 |          0 |          7 |
| src\main\java                                                                                                                                         |        127 |      8,685 |      2,170 |      2,012 |     12,867 |
| src\main\java\com                                                                                                                                     |         61 |      3,083 |        969 |        761 |      4,813 |
| src\main\java\com\team254                                                                                                                             |         61 |      3,083 |        969 |        761 |      4,813 |
| src\main\java\com\team254\frc2020                                                                                                                     |          4 |        134 |          7 |         31 |        172 |
